North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),2013,"$74,085.63"
BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS,2013,"$73,710.46"
ZOOS AND BOTANICAL GARDENS,2013,"$73,562.60"
BOTTLED WATER MANUFACTURING,2013,"$72,039.95"
SUPPORT ACTIVITIES FOR PRINTING,2013,"$71,364.84"
BITUMINOUS COAL UNDERGROUND MINING,2013,"$70,600.00"
QUICK PRINTING,2013,"$70,428.22"
PLASTICS BAG AND POUCH MANUFACTURING,2013,"$68,487.70"
PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,2013,"$68,330.50"
STEAM AND AIR-CONDITIONING SUPPLY,2013,"$67,785.00"
ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,2013,"$67,197.80"
TELEPHONE APPARATUS MANUFACTURING,2013,"$66,209.02"
GEOPHYSICAL SURVEYING AND MAPPING SERVICES,2013,"$66,010.52"
LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2013,"$65,519.12"
ETHYL ALCOHOL MANUFACTURING,2013,"$65,416.41"
CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2013,"$64,930.00"
RESILIENT FLOOR COVERING MANUFACTURING,2013,"$62,905.00"
CHICKEN EGG PRODUCTION,2013,"$62,417.08"
SPORTING GOODS STORES,2013,"$61,709.71"
FLOOR COVERING STORES,2013,"$61,338.50"
GLOVE AND MITTEN MANUFACTURING,2013,"$60,848.23"
GLASS AND GLAZING CONTRACTORS,2013,"$60,074.18"
WHOLESALE TRADE AGENTS AND BROKERS,2013,"$59,833.36"
"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",2013,"$59,573.24"
CLOTHING ACCESSORIES STORES,2013,"$57,267.82"
FOOTWEAR MERCHANT WHOLESALERS,2013,"$56,238.66"
MISCELLANEOUS INTERMEDIATION,2013,"$54,502.00"
"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS",2013,"$54,307.01"
ELEVATOR AND MOVING STAIRWAY MANUFACTURING,2013,"$53,605.85"
ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2013,"$53,250.74"
"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",2013,"$52,290.67"
AUTOMOBILE MANUFACTURING,2013,"$50,481.04"
BROADWOVEN FABRIC FINISHING MILLS,2013,"$50,253.50"
GASOLINE STATIONS WITH CONVENIENCE STORES,2013,"$49,911.65"
MINING MACHINERY AND EQUIPMENT MANUFACTURING,2013,"$49,425.10"
HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING,2013,"$49,323.22"
CONSTRUCTION SAND AND GRAVEL MINING,2013,"$49,310.81"
INDUSTRIAL VALVE MANUFACTURING,2013,"$49,078.10"
RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2013,"$47,571.38"
SCALE AND BALANCE MANUFACTURING,2013,"$47,484.92"
GRANTMAKING FOUNDATIONS,2013,"$46,258.85"
HOME FURNISHING MERCHANT WHOLESALERS,2013,"$45,956.84"
PLASTICS PIPE AND PIPE FITTING MANUFACTURING,2013,"$45,913.90"
DRAFTING SERVICES,2013,"$45,201.70"
ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,2013,"$45,041.62"
RESIDENTIAL ELECTRIC LIGHTING FIXTURE MANUFACTURING,2013,"$44,610.62"
SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,2013,"$44,464.17"
JUNIOR COLLEGES,2013,"$44,300.00"
OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,2013,"$42,848.00"
ART DEALERS,2013,"$41,824.50"
REUPHOLSTERY AND FURNITURE REPAIR,2013,"$41,598.00"
MOTOR AND GENERATOR MANUFACTURING,2013,"$41,540.09"
"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",2013,"$41,229.31"
ELECTRONIC SHOPPING,2013,"$39,448.19"
MIXED MODE TRANSIT SYSTEMS,2013,"$39,150.00"
OTHER TECHNICAL AND TRADE SCHOOLS,2013,"$38,300.00"
MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS,2013,"$37,458.12"
OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,2013,"$37,351.48"
WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2013,"$36,623.89"
"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",2013,"$35,654.01"
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,2013,"$34,348.64"
ALL OTHER LEGAL SERVICES,2013,"$32,998.42"
WAREHOUSE CLUBS AND SUPERCENTERS,2013,"$31,000.00"
"OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",2013,"$30,673.00"
PET AND PET SUPPLIES STORES,2013,"$30,280.87"
ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING,2013,"$30,275.99"
"MOTORCYCLE, ATV, AND ALL OTHER MOTOR VEHICLE DEALERS",2013,"$29,996.00"
PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2013,"$29,730.45"
URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING,2013,"$29,274.60"
HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2013,"$28,622.05"
FINISH CARPENTRY CONTRACTORS,2013,"$28,476.49"
MACHINE SHOPS,2013,"$28,380.00"
"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",2013,"$28,300.00"
MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,2013,"$27,960.35"
OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2013,"$27,647.16"
FOLDING PAPERBOARD BOX MANUFACTURING,2013,"$26,545.14"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",2013,"$25,207.50"
ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,2013,"$24,733.81"
WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2013,"$23,982.60"
"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2013,"$23,842.82"
DRYWALL AND INSULATION CONTRACTORS,2013,"$23,700.00"
ELECTRONICS STORES,2013,"$23,678.23"
PRIMARY BATTERY MANUFACTURING,2013,"$22,839.65"
ALL OTHER NONMETALLIC MINERAL MINING,2013,"$22,550.00"
SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,2013,"$22,000.00"
PASSENGER CAR LEASING,2013,"$21,871.00"
COIN-OPERATED LAUNDRIES AND DRYCLEANERS,2013,"$21,680.58"
SHEET METAL WORK MANUFACTURING,2013,"$21,577.83"
OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,2013,"$21,246.22"
DIET AND WEIGHT REDUCING CENTERS,2013,"$21,204.00"
"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",2013,"$20,853.94"
PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,2013,"$20,528.42"
OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,2013,"$20,405.17"
TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,2013,"$20,343.39"
ELECTRONIC CONNECTOR MANUFACTURING,2013,"$20,338.13"
FOOD PRODUCT MACHINERY MANUFACTURING,2013,"$20,222.12"
"ELECTRONIC COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",2013,"$19,890.00"
CATERERS,2013,"$19,544.50"
HOME HEALTH EQUIPMENT RENTAL,2013,"$19,376.00"
BUSINESS TO BUSINESS ELECTRONIC MARKETS,2013,"$19,217.00"
ALL OTHER MISCELLANEOUS CROP FARMING,2013,"$18,804.72"
ALL OTHER GENERAL MERCHANDISE STORES,2013,"$18,702.38"
"ELECTRICAL AND ELECTRONIC APPLIANCE, TELEVISION, AND RADIO SET MERCHANT WHOLESALERS",2013,"$18,500.67"
OUTDOOR POWER EQUIPMENT STORES,2013,"$18,463.90"
GENERAL RENTAL CENTERS,2013,"$18,250.57"
"ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS)",2013,"$18,150.00"
MONETARY AUTHORITIES - CENTRAL BANK,2013,"$17,800.00"
ALL OTHER HEALTH AND PERSONAL CARE STORES,2013,"$16,780.53"
OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,2013,"$16,691.09"
OTHER URBAN TRANSIT SYSTEMS,2013,"$16,500.00"
LANGUAGE SCHOOLS,2013,"$16,383.00"
OFFICES OF CHIROPRACTORS,2013,"$16,185.00"
CARPET AND UPHOLSTERY CLEANING SERVICES,2013,"$16,028.80"
HOUSEHOLD VACUUM CLEANER MANUFACTURING,2013,"$15,933.56"
FABRICATED STRUCTURAL METAL MANUFACTURING,2013,"$15,925.70"
FUNERAL HOMES AND FUNERAL SERVICES,2013,"$15,825.00"
ALL OTHER SPECIALTY FOOD STORES,2013,"$15,438.79"
ENVELOPE MANUFACTURING,2013,"$15,356.21"
PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2013,"$14,956.40"
POULTRY HATCHERIES,2013,"$14,685.28"
"SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING ",2013,"$14,580.00"
LEGISLATIVE BODIES,2013,"$14,200.00"
CASINO HOTELS,2013,"$13,860.00"
OTHER CLOTHING STORES,2013,"$13,700.24"
"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",2013,"$13,341.48"
MOTION PICTURE AND VIDEO DISTRIBUTION,2013,"$13,340.55"
BOOK STORES,2013,"$13,311.86"
OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS,2013,"$13,235.91"
REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS,2013,"$13,219.47"
"OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",2013,"$13,049.00"
AUTOMOTIVE PARTS AND ACCESSORIES STORES,2013,"$13,045.00"
BITUMINOUS COAL AND LIGNITE SURFACE MINING,2013,"$12,810.75"
PLASTICS PLUMBING FIXTURE MANUFACTURING,2013,"$12,638.00"
"BROOM, BRUSH, AND MOP MANUFACTURING",2013,"$12,407.78"
STORAGE BATTERY MANUFACTURING,2013,"$12,053.00"
BAKED GOODS STORES,2013,"$12,000.00"
"WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",2013,"$11,875.80"
STEEL WIRE DRAWING,2013,"$11,840.00"
HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,2013,"$11,720.00"
LOGGING,2013,"$11,260.50"
FURNITURE WHOLESALERS,2013,"$10,796.46"
MUSIC PUBLISHERS,2013,"$10,684.00"
MACHINE TOOL MANUFACTURING,2013,"$10,550.68"
ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE,2013,"$10,100.71"
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE WHOLESALERS,2013,"$10,032.41"
COMMODITY CONTRACTS BROKERAGE,2013,"$10,015.13"
DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS,2013,"$10,000.00"
SOLID WASTE LANDFILL,2013,"$9,649.60"
FLUID MILK MANUFACTURING,2013,"$9,345.54"
MASONRY CONTRACTORS,2013,"$9,336.00"
OPTICAL GOODS STORES,2013,"$8,839.30"
HOUSEHOLD COOKING APPLIANCE MANUFACTURING,2013,"$8,750.23"
CUT STONE AND STONE PRODUCT MANUFACTURING,2013,"$8,589.25"
MONETARY AUTHORITIES-CENTRAL BANK,2013,"$8,460.00"
ELECTRIC LAMP BULB AND PART MANUFACTURING,2013,"$8,424.00"
TILE AND TERRAZZO CONTRACTORS,2013,"$8,340.00"
GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,2013,"$8,173.25"
OTHER ACTIVITIES RELATED TO REAL ESTATE,2013,"$8,157.00"
PREFABRICATED WOOD BUILDING MANUFACTURING,2013,"$8,115.90"
HUNTING AND TRAPPING,2013,"$7,860.71"
BLIND AND SHADE MANUFACTURING,2013,"$7,797.99"
TAXI SERVICE,2013,"$7,388.00"
"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",2013,"$7,216.62"
HOUSEHOLD APPLIANCE STORES,2013,"$7,050.00"
BUSINESS AND SECRETARIAL SCHOOLS,2013,"$7,000.00"
OTHER MOTION PICTURE AND VIDEO INDUSTRIES,2013,"$7,000.00"
METAL WINDOW AND DOOR MANUFACTURING,2013,"$6,823.80"
MOTORCYCLE DEALERS,2013,"$6,812.35"
"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",2013,"$6,593.00"
"PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2013,"$6,500.00"
OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2013,"$6,289.99"
ALL OTHER CONSUMER GOODS RENTAL,2013,"$6,270.16"
FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,2013,"$6,270.00"
STATIONERY AND OFFICE SUPPLIES WHOLESALERS,2013,"$6,188.26"
WIND ELECTRIC POWER GENERATION,2013,"$6,153.88"
PAINT AND WALLPAPER STORES,2013,"$5,918.33"
"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",2013,"$5,913.60"
PAINT AND COATING MANUFACTURING,2013,"$5,709.03"
LUGGAGE AND LEATHER GOODS STORES,2013,"$5,700.00"
FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2013,"$5,573.30"
WOMEN'S HANDBAG AND PURSE MANUFACTURING,2013,"$5,000.00"
RECREATIONAL GOODS RENTAL,2013,"$4,997.92"
PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,2013,"$4,828.33"
GENERAL AUTOMOTIVE REPAIR,2013,"$4,826.76"
MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2013,"$4,468.14"
"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",2013,"$4,220.40"
MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,2013,"$4,078.48"
COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS,2013,"$4,017.00"
ADVERTISING MATERIAL DISTRIBUTION SERVICES,2013,"$4,000.00"
PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,2013,"$3,932.52"
ARMORED CAR SERVICES,2013,"$3,912.00"
SEMICONDUCTOR MACHINERY MANUFACTURING,2013,"$3,809.70"
PEN AND MECHANICAL PENCIL MANUFACTURING,2013,"$3,765.00"
OTHER TELECOMMUNICATIONS,2013,"$3,680.17"
PLASTICS BOTTLE MANUFACTURING,2013,"$3,659.80"
HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2013,"$3,537.49"
"OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES",2013,"$3,500.00"
NATURAL GAS LIQUID EXTRACTION,2013,"$3,497.90"
DANCE COMPANIES,2013,"$3,380.00"
HAND AND EDGE TOOL MANUFACTURING,2013,"$3,295.68"
SHOE STORES,2013,"$3,278.70"
"ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",2013,"$3,128.30"
MEASURING AND DISPENSING PUMP MANUFACTURING,2013,"$3,086.79"
CORN FARMING,2013,"$1,850.00"
TRAVEL TRAILER AND CAMPER MANUFACTURING,2013,"$1,560.00"
AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,2013,"$1,324.34"
OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2013,"$1,270.58"
INSURANCE AGENCIES AND BROKERAGES,2013,"$1,199.13"
"GAME, TOY, AND CHILDREN'S VEHICLE MANUFACTURING",2013,$403.83
MEN'S AND BOYS' CUT AND SEW WORK CLOTHING MANUFACTURING,2013,$318.98
FRAMING CONTRACTORS,2013,$168.68
SUPPORT ACTIVITIES FOR FORESTRY,2013,$154.00
TELEVISION BROADCASTING,2013,$100.00
OTHER DEPOSITORY CREDIT INTERMEDIATION,2013,$88.88
"AGENTS AND MANAGERS FOR ARTISTS, ATHLETES, ENTERTAINERS, AND OTHER PUBLIC FIGURES",2013,$0.00
ALL OTHER MISCELLANEOUS NONMETALLIC MINERAL PRODUCT MANUFACTURING,2013,$0.00
"BLANKBOOK, LOOSELEAF BINDERS, AND DEVICES MANUFACTURING",2013,$0.00
CELLULAR AND OTHER WIRELESS TELECOMMUNICATIONS,2013,$0.00
COMMERCIAL FLEXOGRAPHIC PRINTING,2013,$0.00
CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2013,$0.00
DRILLING OIL AND GAS WELLS,2013,$0.00
ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,2013,$0.00
FAMILY PLANNING CENTERS,2013,$0.00
"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",2013,$0.00
HUMAN RIGHTS ORGANIZATIONS,2013,$0.00
MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,2013,$0.00
MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES,2013,$0.00
"MOTORCYCLE, ATV, AND PERSONAL WATERCRAFT DEALERS",2013,$0.00
NEWS SYNDICATES,2013,$0.00
NONRESIDENTIAL PROPERTY MANAGERS,2013,$0.00
OTHER METALWORKING MACHINERY MANUFACTURING,2013,$0.00
PRINTING INK MANUFACTURING,2013,$0.00
RADIO NETWORKS,2013,$0.00
SOUND RECORDING STUDIOS,2013,$0.00
SPACE RESEARCH AND TECHNOLOGY,2013,$0.00
"SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING",2013,$0.00
"CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",2013,$-0.20
"STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2013,$-1.00
"LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",2013,$-10.29
METAL STAMPING,2013,$-25.00
COMMERCIAL BAKERIES,2013,$-65.94
MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,2013,$-169.15
THEATER COMPANIES AND DINNER THEATERS,2013,$-186.70
"HOBBY, TOY, AND GAME STORES",2013,$-197.99
RECYCLABLE MATERIAL MERCHANT WHOLESALERS,2013,$-204.33
"HAT, CAP, AND MILLINERY MANUFACTURING",2013,$-245.00
HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING,2013,$-447.06
TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2013,$-457.98
SOLID WASTE COMBUSTORS AND INCINERATORS,2013,$-600.00
AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,2013,$-725.99
"SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",2013,$-796.06
SALES FINANCING,2013,"$-1,099.75"
"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",2013,"$-1,200.00"
CHARTER BUS INDUSTRY,2013,"$-1,254.00"
OTHER ELECTRIC POWER GENERATION,2013,"$-1,483.65"
CERAMIC WALL AND FLOOR TILE MANUFACTURING,2013,"$-1,550.58"
INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2013,"$-1,550.79"
ADMINISTRATION OF HOUSING PROGRAMS,2013,"$-1,624.00"
LUGGAGE MANUFACTURING,2013,"$-2,146.68"
TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,2013,"$-2,155.17"
SOFTWARE REPRODUCING,2013,"$-2,587.01"
COMPUTER TERMINAL MANUFACTURING,2013,"$-3,443.20"
OTHER PERSONAL CARE SERVICES,2013,"$-3,444.65"
OTHER AIRPORT OPERATIONS,2013,"$-3,622.37"
RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,2013,"$-3,791.06"
SHIP BUILDING AND REPAIRING,2013,"$-4,800.00"
SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2013,"$-5,969.93"
FOOD (HEALTH) SUPPLEMENT STORES,2013,"$-6,454.00"
"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",2013,"$-7,691.12"
"ROOMING AND BOARDING HOUSES, DORMITORIES, AND WORKERS' CAMPS",2013,"$-7,769.00"
POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),2013,"$-8,459.00"
OTHER AQUACULTURE,2013,"$-9,987.50"
OTHER METAL CONTAINER MANUFACTURING,2013,"$-16,281.22"
ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,2013,"$-18,641.79"
"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2013,"$-23,257.23"
LIVESTOCK MERCHANT WHOLESALERS,2013,"$-23,529.00"
DAIRY CATTLE AND MILK PRODUCTION,2013,"$-24,489.11"
HOME CENTERS,2013,"$-25,520.87"
HEALTH AND WELFARE FUNDS,2013,"$-25,704.00"
COMMERCIAL LITHOGRAPHIC PRINTING,2013,"$-27,685.71"
ON-LINE INFORMATION SERVICES,2013,"$-30,559.71"
OFFICES OF REAL ESTATE AGENTS AND BROKERS,2013,"$-33,398.50"
HEATING OIL DEALERS,2013,"$-39,066.86"
PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,2013,"$-48,600.06"
LANDSCAPE ARCHITECTURAL SERVICES,2013,"$-53,583.11"
OUTDOOR ADVERTISING,2013,"$-54,293.64"
NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION,2013,"$-54,950.00"
"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",2013,"$-67,095.01"
ALL OTHER PERSONAL SERVICES,2013,"$-67,895.03"
AUTOMATIC VENDING MACHINE MANUFACTURING,2013,"$-77,876.64"
OTHER SERVICES RELATED TO ADVERTISING,2013,"$-177,324.40"
"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",2013,"$-299,525.57"
OTHER WASTE COLLECTION,2013,"$-431,531.68"
DATA PROCESSING SERVICES,2013,"$-605,527.27"
"PRERECORDED COMPACT DISC (EXCEPT SOFTWARE), TAPE, AND RECORD REPRODUCING",2013,"$-1,249,432.04"
NONWOVEN FABRIC MILLS,2013,"$-1,358,560.00"
OTHER COMMERCIAL PRINTING,2013,"$-2,449,555.46"
PHARMACEUTICAL PREPARATION MANUFACTURING,2014,"$3,861,094,522.79"
COMPUTER SYSTEMS DESIGN SERVICES,2014,"$2,375,140,544.72"
ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2014,"$2,021,242,852.86"
DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,2014,"$1,221,897,533.73"
OTHER MANAGEMENT CONSULTING SERVICES,2014,"$1,038,934,372.74"
OTHER COMPUTER RELATED SERVICES,2014,"$849,058,083.83"
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2014,"$829,870,994.36"
"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2014,"$738,905,244.99"
RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,2014,"$714,003,993.51"
BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,2014,"$659,480,764.62"
FACILITIES SUPPORT SERVICES,2014,"$655,417,418.84"
TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,2014,"$626,102,350.79"
COMPUTER FACILITIES MANAGEMENT SERVICES,2014,"$593,822,075.76"
"DATA PROCESSING, HOSTING, AND RELATED SERVICES",2014,"$533,053,552.30"
RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2014,"$311,620,624.06"
OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2014,"$304,756,397.18"
CUSTOM COMPUTER PROGRAMMING SERVICES,2014,"$275,246,406.05"
ADVERTISING AGENCIES,2014,"$258,506,737.63"
ELECTRONIC COMPUTER MANUFACTURING,2014,"$256,126,246.80"
TEMPORARY HELP SERVICES,2014,"$233,838,006.28"
ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2014,"$208,692,143.91"
COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2014,"$119,709,850.24"
ALL OTHER INSURANCE RELATED ACTIVITIES,2014,"$116,727,720.92"
LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),2014,"$104,608,179.07"
SOFTWARE PUBLISHERS,2014,"$84,973,200.49"
ADMINISTRATION OF PUBLIC HEALTH PROGRAMS,2014,"$82,602,473.17"
ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,2014,"$79,009,282.68"
OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2014,"$76,374,137.79"
"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",2014,"$75,313,729.38"
MARKETING CONSULTING SERVICES,2014,"$73,894,996.94"
SECURITY GUARDS AND PATROL SERVICES,2014,"$71,533,206.75"
COMPUTER AND SOFTWARE STORES,2014,"$69,730,167.30"
ELECTRIC POWER DISTRIBUTION,2014,"$69,360,185.23"
OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2014,"$65,752,594.45"
DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,2014,"$55,400,653.02"
EDUCATIONAL SUPPORT SERVICES,2014,"$53,788,174.45"
OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2014,"$50,759,084.57"
EXAM PREPARATION AND TUTORING,2014,"$50,382,078.00"
MARKETING RESEARCH AND PUBLIC OPINION POLLING,2014,"$49,986,482.04"
ENGINEERING SERVICES,2014,"$48,170,363.03"
SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2014,"$47,528,120.45"
REFRIGERATED WAREHOUSING AND STORAGE,2014,"$47,389,541.64"
PUBLIC RELATIONS AGENCIES,2014,"$44,303,196.28"
OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2014,"$36,432,453.89"
VETERINARY SERVICES,2014,"$34,332,943.83"
JANITORIAL SERVICES,2014,"$32,451,400.56"
OTHER ACCOUNTING SERVICES,2014,"$32,289,169.86"
ALL OTHER TELECOMMUNICATIONS,2014,"$31,142,636.69"
ALL OTHER OUTPATIENT CARE CENTERS,2014,"$30,775,176.74"
FOSSIL FUEL ELECTRIC POWER GENERATION,2014,"$30,308,751.02"
COLLECTION AGENCIES,2014,"$29,556,339.36"
OFFICE ADMINISTRATIVE SERVICES,2014,"$28,898,358.33"
TESTING LABORATORIES,2014,"$27,766,033.53"
CREDIT BUREAUS,2014,"$27,309,801.74"
IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2014,"$27,043,793.99"
